(130, 133, 181, 496, 1089, 612, 404, 345)
(131, 134, 194, 639, 1156, 676, 387, 341)
(108, 120, 181, 653, 1168, 637, 324, 305)
(86, 99, 161, 634, 1066, 605, 231, 257)
(81, 102, 194, 630, 1001, 505, 203, 159)
(61, 88, 197, 530, 722, 436, 190, 136)
(61, 87, 223, 354, 555, 226, 109, 109)
(69, 113, 253, 316, 349, 182, 76, 84)
(67, 113, 258, 303, 303, 155, 68, 74)
(69, 127, 344, 360, 337, 108, 61, 61)
(71, 132, 383, 361, 406, 88, 55, 55)
(60, 128, 390, 357, 449, 76, 49, 43)
(49, 106, 385, 344, 476, 68, 45, 38)
(50, 109, 412, 349, 519, 68, 40, 36)
(41, 88, 359, 283, 564, 69, 37, 31)
(42, 74, 307, 325, 597, 178, 168, 101)
(59, 73, 268, 370, 621, 343, 321, 293)
(98, 101, 274, 495, 751, 473, 481, 361)
(102, 99, 227, 498, 796, 579, 548, 367)
(118, 116, 212, 692, 932, 681, 575, 400)
(132, 138, 240, 756, 1098, 776, 582, 397)
(130, 139, 242, 747, 1113, 762, 526, 317)
(109, 132, 247, 699, 1042, 708, 393, 255)
(107, 132, 264, 698, 1024, 645, 297, 248)
(100, 125, 274, 504, 868, 543, 242, 196)
(78, 104, 265, 373, 578, 371, 156, 179)
(74, 113, 279, 348, 445, 273, 111, 124)
(70, 117, 299, 316, 384, 219, 78, 81)
(67, 114, 295, 297, 318, 152, 64, 70)
(52, 105, 282, 297, 341, 127, 50, 54)
(51, 105, 278, 275, 318, 84, 44, 47)
(44, 89, 263, 271, 335, 73, 39, 36)
(39, 69, 239, 279, 414, 81, 34, 30)
(38, 67, 223, 284, 416, 88, 37, 30)
(35, 57, 189, 273, 494, 224, 92, 58)
(59, 71, 173, 279, 566, 242, 274, 197)
(70, 73, 164, 270, 596, 342, 333, 291)
(87, 82, 136, 268, 689, 507, 506, 340)
(95, 87, 129, 311, 842, 588, 533, 359)
(101, 92, 126, 410, 876, 592, 542, 367)
(91, 79, 124, 422, 917, 626, 479, 320)
(92, 93, 178, 453, 940, 613, 442, 242)
(87, 112, 272, 460, 848, 510, 230, 171)
(88, 121, 312, 440, 677, 423, 165, 131)
(83, 118, 329, 392, 547, 373, 107, 97)
(93, 141, 385, 408, 387, 304, 96, 80)
(87, 138, 391, 406, 252, 225, 91, 70)
(76, 130, 378, 367, 245, 160, 76, 61)
(66, 119, 360, 425, 417, 128, 56, 47)
(64, 122, 357, 425, 482, 104, 47, 44)
(46, 92, 307, 411, 542, 101, 37, 39)
(46, 89, 293, 391, 585, 133, 43, 34)
(41, 64, 225, 396, 672, 167, 50, 43)
(52, 73, 205, 400, 674, 274, 283, 154)
(59, 67, 181, 362, 667, 390, 364, 272)
(79, 87, 172, 361, 649, 500, 541, 341)
(84, 82, 133, 481, 789, 569, 564, 373)
(98, 91, 130, 499, 805, 615, 580, 380)
(96, 89, 123, 435, 757, 588, 522, 359)
(92, 90, 124, 433, 724, 532, 476, 284)
(75, 72, 114, 427, 737, 446, 260, 199)
(76, 95, 226, 293, 545, 346, 206, 130)
(60, 94, 282, 293, 385, 240, 155, 105)
(54, 89, 329, 285, 316, 213, 103, 70)
(53, 91, 360, 321, 312, 174, 65, 53)
(58, 106, 465, 362, 197, 120, 61, 43)
(51, 109, 500, 353, 319, 117, 57, 41)
(51, 112, 507, 326, 355, 105, 51, 36)
(48, 113, 494, 384, 398, 88, 43, 35)
(47, 122, 521, 487, 438, 84, 39, 34)
(43, 117, 455, 495, 491, 79, 38, 32)
(40, 95, 374, 505, 472, 76, 41, 31)
(37, 86, 329, 559, 487, 106, 44, 34)
(40, 84, 310, 548, 498, 147, 51, 35)
(47, 75, 234, 483, 633, 288, 183, 68)
(78, 76, 185, 467, 830, 526, 302, 158)
(86, 84, 177, 528, 905, 568, 331, 200)
(99, 94, 170, 514, 958, 597, 366, 247)
(107, 106, 174, 507, 984, 630, 393, 254)
(106, 103, 155, 492, 974, 687, 371, 254)
(89, 107, 268, 540, 854, 553, 295, 212)
(83, 115, 354, 492, 767, 516, 267, 174)
(75, 120, 416, 468, 683, 483, 219, 96)
(66, 119, 457, 444, 616, 432, 171, 79)
(63, 120, 477, 456, 467, 229, 126, 55)
(62, 119, 465, 416, 322, 160, 89, 47)
(62, 114, 426, 401, 302, 138, 76, 42)
(57, 108, 450, 392, 366, 111, 61, 41)
(54, 98, 425, 452, 369, 85, 39, 33)
(52, 97, 429, 429, 426, 77, 34, 33)
(47, 80, 383, 377, 449, 101, 38, 33)
(46, 69, 355, 356, 469, 224, 51, 50)
(42, 58, 232, 337, 470, 305, 179, 83)
(46, 59, 185, 251, 535, 346, 213, 103)
(63, 69, 122, 269, 643, 449, 228, 115)
(65, 71, 114, 327, 703, 495, 247, 125)
(71, 89, 205, 339, 718, 473, 247, 148)
(69, 86, 206, 333, 738, 478, 182, 136)
(66, 84, 207, 325, 721, 462, 150, 130)
(51, 73, 202, 278, 617, 415, 149, 123)
(51, 73, 202, 278, 617, 415, 149, 123)
